epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.512,1.95371,2.39051,1.9451,0.0003,0.03812,0.00016,4e-05,5.20028,inf,1210.93,0.00066087,0.00066087,0.00066087
2,208.631,2.17217,2.24499,2.16062,0.09806,0.04839,0.03154,0.01056,2.84595,8.28833,3.0217,0.00131439,0.00131439,0.00131439
3,313.593,2.13857,2.1343,2.09433,0.26938,0.06271,0.05188,0.02022,3.06084,4.99566,3.16027,0.00195472,0.00195472,0.00195472
4,419.86,2.02753,1.99966,2.00186,0.31002,0.25513,0.23087,0.08578,2.31957,4.46683,2.3962,0.0019406,0.0019406,0.0019406
5,531.397,2.02516,1.91238,1.988,0.67475,0.43402,0.54229,0.21901,2.08902,1.73256,2.0945,0.0019208,0.0019208,0.0019208
6,662.28,1.95259,1.878,1.90847,0.42114,0.43738,0.4,0.15563,2.05436,2.33841,2.15396,0.001901,0.001901,0.001901
7,768.895,1.91176,1.76899,1.88035,0.60851,0.49456,0.52371,0.20628,1.98441,1.97619,2.01756,0.0018812,0.0018812,0.0018812
8,905.925,1.88161,1.73716,1.85498,0.58515,0.44721,0.49129,0.20276,2.04996,1.88373,2.01429,0.0018614,0.0018614,0.0018614
9,1045.47,1.88894,1.66613,1.84211,0.62659,0.54692,0.59303,0.26195,1.93083,1.70911,1.96659,0.0018416,0.0018416,0.0018416
10,1182.36,1.83571,1.6032,1.80841,0.58283,0.53812,0.55793,0.2338,1.97218,1.65117,2.00012,0.0018218,0.0018218,0.0018218
11,1319.41,1.79374,1.57444,1.77946,0.62571,0.57038,0.58673,0.26367,1.85837,1.80572,1.91399,0.001802,0.001802,0.001802
12,1438.43,1.78022,1.58925,1.7613,0.7419,0.53372,0.63103,0.28584,1.84173,1.56484,1.88105,0.0017822,0.0017822,0.0017822
13,1572.42,1.75934,1.4936,1.75451,0.69713,0.53079,0.61653,0.27793,1.90949,1.52036,1.90392,0.0017624,0.0017624,0.0017624
14,1718.93,1.76046,1.52522,1.72856,0.66408,0.61163,0.66703,0.30694,1.89181,1.41139,1.87705,0.0017426,0.0017426,0.0017426
15,1826.92,1.75638,1.4685,1.71788,0.7278,0.62463,0.67451,0.31361,1.83768,1.41939,1.85933,0.0017228,0.0017228,0.0017228
16,1977.98,1.70617,1.43747,1.70178,0.69366,0.62418,0.65682,0.29859,1.82668,1.48065,1.8407,0.001703,0.001703,0.001703
17,2119.5,1.70758,1.43129,1.69468,0.67501,0.6173,0.6587,0.31392,1.8052,1.4975,1.8291,0.0016832,0.0016832,0.0016832
18,2278.85,1.70919,1.41361,1.69971,0.73241,0.65818,0.69445,0.31858,1.81312,1.35019,1.83188,0.0016634,0.0016634,0.0016634
19,2416.44,1.69642,1.3967,1.68573,0.72902,0.6129,0.67324,0.32685,1.75896,1.36752,1.77664,0.0016436,0.0016436,0.0016436
20,2565.74,1.68466,1.33326,1.67884,0.71215,0.6711,0.7079,0.33077,1.82494,1.34866,1.83062,0.0016238,0.0016238,0.0016238
21,2718.59,1.64567,1.34522,1.65004,0.71257,0.60264,0.66909,0.32524,1.79273,1.38519,1.78508,0.001604,0.001604,0.001604
22,2852.16,1.65587,1.30123,1.65308,0.74149,0.63343,0.67377,0.33433,1.75833,1.31922,1.73877,0.0015842,0.0015842,0.0015842
23,2990.05,1.66445,1.32327,1.65047,0.7969,0.66739,0.75177,0.36203,1.7804,1.2033,1.81627,0.0015644,0.0015644,0.0015644
24,3099.08,1.67859,1.30344,1.64826,0.79446,0.68475,0.73899,0.35432,1.7976,1.22438,1.78585,0.0015446,0.0015446,0.0015446
25,3243.72,1.61432,1.26586,1.64253,0.65314,0.65103,0.67191,0.33381,1.74618,1.32139,1.80101,0.0015248,0.0015248,0.0015248
26,3377.46,1.64573,1.27384,1.66734,0.70464,0.63636,0.65701,0.31836,1.78875,1.3561,1.82912,0.001505,0.001505,0.001505
27,3522.12,1.62419,1.25944,1.62135,0.78142,0.69501,0.74896,0.36755,1.76228,1.17831,1.78922,0.0014852,0.0014852,0.0014852
28,3634.5,1.62917,1.21151,1.61378,0.78175,0.66276,0.74015,0.359,1.79509,1.20619,1.79095,0.0014654,0.0014654,0.0014654
29,3741.14,1.60566,1.20275,1.61458,0.73973,0.69178,0.73574,0.36711,1.72139,1.22155,1.77439,0.0014456,0.0014456,0.0014456
30,3848,1.5811,1.18511,1.59508,0.75002,0.68628,0.74616,0.39174,1.68848,1.15254,1.73719,0.0014258,0.0014258,0.0014258
31,3988.35,1.57789,1.14104,1.57721,0.82465,0.71408,0.77622,0.38829,1.69841,1.13322,1.72565,0.001406,0.001406,0.001406
32,4095.36,1.57742,1.15108,1.57655,0.79225,0.67302,0.72903,0.36936,1.74538,1.16647,1.78409,0.0013862,0.0013862,0.0013862
33,4240.72,1.57356,1.13757,1.59289,0.79619,0.67009,0.75975,0.39413,1.67184,1.14196,1.70987,0.0013664,0.0013664,0.0013664
34,4384.42,1.55144,1.15591,1.57576,0.7806,0.70949,0.75834,0.38968,1.67587,1.16234,1.70907,0.0013466,0.0013466,0.0013466
35,4490.48,1.54817,1.16629,1.56527,0.79695,0.70968,0.77023,0.39114,1.70826,1.11107,1.72918,0.0013268,0.0013268,0.0013268
36,4623.56,1.56913,1.13157,1.56248,0.84257,0.69061,0.76584,0.37406,1.7383,1.1329,1.7471,0.001307,0.001307,0.001307
37,4761.44,1.53349,1.10477,1.56061,0.78629,0.72434,0.77235,0.40031,1.70587,1.08964,1.7347,0.0012872,0.0012872,0.0012872
38,4870.53,1.53908,1.10649,1.55273,0.80112,0.68622,0.75803,0.38725,1.72014,1.13432,1.74449,0.0012674,0.0012674,0.0012674
39,5013.56,1.50559,1.05837,1.53818,0.79814,0.72471,0.77718,0.39577,1.7008,1.08989,1.73006,0.0012476,0.0012476,0.0012476
40,5121.01,1.5111,1.07113,1.53247,0.82462,0.71408,0.79439,0.40111,1.72633,1.05789,1.73113,0.0012278,0.0012278,0.0012278
41,5234.75,1.56436,1.10396,1.56093,0.8604,0.70487,0.79197,0.40231,1.69312,1.05839,1.71992,0.001208,0.001208,0.001208
42,5385.21,1.49554,1.04899,1.51492,0.81268,0.74194,0.80108,0.4036,1.71939,1.03884,1.74646,0.0011882,0.0011882,0.0011882
43,5519.82,1.47734,1.04423,1.49861,0.82379,0.73348,0.78372,0.38479,1.73679,1.09648,1.74221,0.0011684,0.0011684,0.0011684
44,5667.95,1.48574,1.0329,1.49803,0.81261,0.73021,0.77047,0.36797,1.74993,1.11415,1.74819,0.0011486,0.0011486,0.0011486
45,5778.88,1.48952,1.04233,1.50646,0.82137,0.72434,0.78657,0.40223,1.71702,1.05172,1.76401,0.0011288,0.0011288,0.0011288
46,5885.48,1.48405,1.02602,1.51669,0.85522,0.77273,0.81535,0.42562,1.65792,0.98379,1.69568,0.001109,0.001109,0.001109
47,5992.79,1.46992,1.02453,1.50758,0.81685,0.77167,0.80665,0.41695,1.68716,1.01788,1.71735,0.0010892,0.0010892,0.0010892
48,6098.21,1.45906,1.02313,1.48829,0.78728,0.74346,0.79314,0.40921,1.68477,1.05968,1.69,0.0010694,0.0010694,0.0010694
49,6204.73,1.45758,0.99534,1.49956,0.85985,0.76464,0.81219,0.4226,1.70535,0.96067,1.73136,0.0010496,0.0010496,0.0010496
50,6310.97,1.45404,0.97311,1.46905,0.86482,0.76922,0.82584,0.42106,1.69085,0.97386,1.71111,0.0010298,0.0010298,0.0010298
51,6415.82,1.444,0.97282,1.47973,0.82307,0.72986,0.7869,0.39946,1.6703,1.08777,1.69386,0.00101,0.00101,0.00101
52,6522.01,1.45277,0.97217,1.49024,0.87664,0.73984,0.81405,0.42281,1.68269,0.99015,1.70778,0.0009902,0.0009902,0.0009902
53,6627.92,1.41223,0.98825,1.47113,0.77074,0.74047,0.76252,0.39625,1.67514,1.05613,1.72916,0.0009704,0.0009704,0.0009704
54,6733.13,1.41825,0.96859,1.46758,0.84803,0.76095,0.81618,0.43111,1.67104,0.97439,1.69518,0.0009506,0.0009506,0.0009506
55,6843.65,1.42054,0.94791,1.47226,0.81359,0.73607,0.78706,0.41266,1.70253,1.00976,1.73595,0.0009308,0.0009308,0.0009308
