epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.11102,2.15143,3.67587,1.98196,0.10401,0.09434,0.02228,0.0104,2.1449,4.18393,2.0061,0.00012,0.00012,0.00012
2,11.2551,2.0741,2.96114,1.99446,0.08405,0.07547,0.03299,0.01282,2.40843,3.70303,2.38478,0.000257426,0.000257426,0.000257426
3,16.0193,1.96297,2.50514,1.92667,0.0722,0.01887,0.00464,0.00215,2.8,7.50628,2.95483,0.00039208,0.00039208,0.00039208
4,20.614,2.14534,2.95572,1.95015,0.01589,0.11321,0.00743,0.00221,2.90214,27.0776,4.19445,0.000523962,0.000523962,0.000523962
5,25.3283,1.82277,2.45028,1.76053,0.01105,0.22642,0.0077,0.00255,2.66345,inf,5.39683,0.000653072,0.000653072,0.000653072
6,29.7292,2.16409,2.84023,2.06581,0.04719,0.16543,0.01371,0.00386,2.91951,17.7769,4.56774,0.00077941,0.00077941,0.00077941
7,34.3391,2.21107,2.70842,2.16652,0.00344,0.22642,0.00209,0.0006,3.40427,inf,9.69771,0.000902976,0.000902976,0.000902976
8,38.6515,2.14849,2.54653,2.03205,0.00338,0.20755,0.00193,0.00067,3.27537,inf,6.93024,0.00102377,0.00102377,0.00102377
9,43.0425,2.22702,2.8301,2.1363,0,0,0,0,nan,nan,nan,0.00114179,0.00114179,0.00114179
10,47.6135,2.26285,2.80336,2.25987,0,0,0,0,nan,nan,nan,0.00125704,0.00125704,0.00125704
11,51.9297,2.17601,2.56203,2.04454,0,0,0,0,nan,nan,nan,0.00136952,0.00136952,0.00136952
12,56.2316,2.28761,2.63052,2.154,0,0,0,0,nan,nan,nan,0.00147923,0.00147923,0.00147923
13,60.7046,2.16481,2.68529,2.08927,0,0,0,0,nan,nan,nan,0.00158616,0.00158616,0.00158616
14,65.165,2.16482,2.68602,2.09446,0.0022,0.07547,0.00137,0.00041,nan,nan,nan,0.00169032,0.00169032,0.00169032
15,69.6138,2.11655,2.47949,2.04795,0.00118,0.16981,0.00065,0.00029,nan,nan,nan,0.0017228,0.0017228,0.0017228
16,74.2009,2.06677,2.69219,2.01196,0.00107,0.15094,0.00113,0.00025,nan,nan,nan,0.001703,0.001703,0.001703
17,78.7437,2.04634,2.45663,1.92998,0.00127,0.18868,0.00074,0.0002,3.50448,inf,676.513,0.0016832,0.0016832,0.0016832
18,83.3148,2.1544,2.49691,2.08786,0.00245,0.24528,0.00155,0.0005,3.08111,inf,52.2324,0.0016634,0.0016634,0.0016634
19,88.1544,2.06046,2.51061,2.03752,0.00259,0.35849,0.00192,0.00068,2.95436,inf,94.0882,0.0016436,0.0016436,0.0016436
20,92.6838,2.0133,2.35055,1.96102,0.01685,0.30189,0.01311,0.0042,2.65982,187.355,4.1694,0.0016238,0.0016238,0.0016238
21,97.357,2.1605,2.51965,2.13047,0.03566,0.24528,0.03029,0.00933,2.45627,35.4509,3.41309,0.001604,0.001604,0.001604
